id,o,d,city_o,district_0,city_d,district_d,lon_0,lat_0,lon_1,lat_1
1,Hong Kong,Macao,香港,九龙半岛,澳门,澳门特别行政区,114.202104,22.321462,113.54909,22.198951
2,Hong Kong,Gaungzhou,香港,九龙半岛,广州,从化区,114.202104,22.321462,113.587386,23.545283
3,Hong Kong,Gaungzhou,香港,九龙半岛,广州,增城区,114.202104,22.321462,113.829579,23.290497
4,Hong Kong,Gaungzhou,香港,九龙半岛,广州,花都区,114.202104,22.321462,113.211184,23.39205
5,Hong Kong,Gaungzhou,香港,九龙半岛,广州,南沙区,114.202104,22.321462,113.53738,22.794531
6,Hong Kong,Gaungzhou,香港,九龙半岛,广州,黄埔区,114.202104,22.321462,113.450761,23.103239
7,Hong Kong,Gaungzhou,香港,九龙半岛,广州,天河区,114.202104,22.321462,113.335367,23.13559
8,Hong Kong,Gaungzhou,香港,九龙半岛,广州,白云区,114.202104,22.321462,113.262831,23.162281
9,Hong Kong,Gaungzhou,香港,九龙半岛,广州,番禺区,114.202104,22.321462,113.364619,22.938582
10,Hong Kong,Gaungzhou,香港,九龙半岛,广州,海珠区,114.202104,22.321462,113.262008,23.103131
11,Hong Kong,Gaungzhou,香港,九龙半岛,广州,越秀区,114.202104,22.321462,113.280714,23.125624
12,Hong Kong,Gaungzhou,香港,九龙半岛,广州,荔湾区,114.202104,22.321462,113.243038,23.124943
13,Hong Kong,Shenzhen,香港,九龙半岛,深圳,宝安区,114.202104,22.321462,113.828671,22.754741
14,Hong Kong,Shenzhen,香港,九龙半岛,深圳,南山区,114.202104,22.321462,113.92943,22.531221
15,Hong Kong,Shenzhen,香港,九龙半岛,深圳,福田区,114.202104,22.321462,114.05096,22.541009
16,Hong Kong,Shenzhen,香港,九龙半岛,深圳,盐田区,114.202104,22.321462,114.235366,22.555069
17,Hong Kong,Shenzhen,香港,九龙半岛,深圳,罗湖区,114.202104,22.321462,114.123885,22.555341
18,Hong Kong,Shenzhen,香港,九龙半岛,深圳,龙岗区,114.202104,22.321462,114.251372,22.721511
19,Hong Kong,Shenzhen,香港,九龙半岛,深圳,龙华区,114.202104,22.321462,114.044346,22.691963
20,Hong Kong,Shenzhen,香港,九龙半岛,深圳,坪山区,114.202104,22.321462,114.338441,22.69423
21,Hong Kong,Shenzhen,香港,九龙半岛,深圳,光明区,114.202104,22.321462,113.935895,22.748816
22,Hong Kong,Zhuhai,香港,九龙半岛,珠海,珠海市,114.202104,22.321462,113.553986,22.224979
23,Hong Kong,Foshan,香港,九龙半岛,佛山,佛山市,114.202104,22.321462,113.122717,23.028762
24,Hong Kong,Huizhou,香港,九龙半岛,惠州,惠州市,114.202104,22.321462,114.412599,23.079404
25,Hong Kong,Dongguang,香港,九龙半岛,东莞,东莞市,114.202104,22.321462,113.746262,23.046237
26,Hong Kong,Zhongshan,香港,九龙半岛,中山,中山市,114.202104,22.321462,113.382391,22.521113
27,Hong Kong,Jiangmen,香港,九龙半岛,江门,江门市,114.202104,22.321462,113.094942,22.590431
28,Hong Kong,Zhaoqing,香港,九龙半岛,肇庆,肇庆市,114.202104,22.321462,112.472529,23.051546
29,Hong Kong,Macao,香港,香港岛,澳门,澳门特别行政区,114.180828,22.270967,113.54909,22.198951
30,Hong Kong,Gaungzhou,香港,香港岛,广州,从化区,114.180828,22.270967,113.587386,23.545283
31,Hong Kong,Gaungzhou,香港,香港岛,广州,增城区,114.180828,22.270967,113.829579,23.290497
32,Hong Kong,Gaungzhou,香港,香港岛,广州,花都区,114.180828,22.270967,113.211184,23.39205
33,Hong Kong,Gaungzhou,香港,香港岛,广州,南沙区,114.180828,22.270967,113.53738,22.794531
34,Hong Kong,Gaungzhou,香港,香港岛,广州,黄埔区,114.180828,22.270967,113.450761,23.103239
35,Hong Kong,Gaungzhou,香港,香港岛,广州,天河区,114.180828,22.270967,113.335367,23.13559
36,Hong Kong,Gaungzhou,香港,香港岛,广州,白云区,114.180828,22.270967,113.262831,23.162281
37,Hong Kong,Gaungzhou,香港,香港岛,广州,番禺区,114.180828,22.270967,113.364619,22.938582
38,Hong Kong,Gaungzhou,香港,香港岛,广州,海珠区,114.180828,22.270967,113.262008,23.103131
39,Hong Kong,Gaungzhou,香港,香港岛,广州,越秀区,114.180828,22.270967,113.280714,23.125624
40,Hong Kong,Gaungzhou,香港,香港岛,广州,荔湾区,114.180828,22.270967,113.243038,23.124943
41,Hong Kong,Shenzhen,香港,香港岛,深圳,宝安区,114.180828,22.270967,113.828671,22.754741
42,Hong Kong,Shenzhen,香港,香港岛,深圳,南山区,114.180828,22.270967,113.92943,22.531221
43,Hong Kong,Shenzhen,香港,香港岛,深圳,福田区,114.180828,22.270967,114.05096,22.541009
44,Hong Kong,Shenzhen,香港,香港岛,深圳,盐田区,114.180828,22.270967,114.235366,22.555069
45,Hong Kong,Shenzhen,香港,香港岛,深圳,罗湖区,114.180828,22.270967,114.123885,22.555341
46,Hong Kong,Shenzhen,香港,香港岛,深圳,龙岗区,114.180828,22.270967,114.251372,22.721511
47,Hong Kong,Shenzhen,香港,香港岛,深圳,龙华区,114.180828,22.270967,114.044346,22.691963
48,Hong Kong,Shenzhen,香港,香港岛,深圳,坪山区,114.180828,22.270967,114.338441,22.69423
49,Hong Kong,Shenzhen,香港,香港岛,深圳,光明区,114.180828,22.270967,113.935895,22.748816
50,Hong Kong,Zhuhai,香港,香港岛,珠海,珠海市,114.180828,22.270967,113.553986,22.224979
51,Hong Kong,Foshan,香港,香港岛,佛山,佛山市,114.180828,22.270967,113.122717,23.028762
52,Hong Kong,Huizhou,香港,香港岛,惠州,惠州市,114.180828,22.270967,114.412599,23.079404
53,Hong Kong,Dongguang,香港,香港岛,东莞,东莞市,114.180828,22.270967,113.746262,23.046237
54,Hong Kong,Zhongshan,香港,香港岛,中山,中山市,114.180828,22.270967,113.382391,22.521113
55,Hong Kong,Jiangmen,香港,香港岛,江门,江门市,114.180828,22.270967,113.094942,22.590431
56,Hong Kong,Zhaoqing,香港,香港岛,肇庆,肇庆市,114.180828,22.270967,112.472529,23.051546
57,Hong Kong,Macao,香港,新界,澳门,澳门特别行政区,114.091194,22.396943,113.54909,22.198951
58,Hong Kong,Gaungzhou,香港,新界,广州,从化区,114.091194,22.396943,113.587386,23.545283
59,Hong Kong,Gaungzhou,香港,新界,广州,增城区,114.091194,22.396943,113.829579,23.290497
60,Hong Kong,Gaungzhou,香港,新界,广州,花都区,114.091194,22.396943,113.211184,23.39205
61,Hong Kong,Gaungzhou,香港,新界,广州,南沙区,114.091194,22.396943,113.53738,22.794531
62,Hong Kong,Gaungzhou,香港,新界,广州,黄埔区,114.091194,22.396943,113.450761,23.103239
63,Hong Kong,Gaungzhou,香港,新界,广州,天河区,114.091194,22.396943,113.335367,23.13559
64,Hong Kong,Gaungzhou,香港,新界,广州,白云区,114.091194,22.396943,113.262831,23.162281
65,Hong Kong,Gaungzhou,香港,新界,广州,番禺区,114.091194,22.396943,113.364619,22.938582
66,Hong Kong,Gaungzhou,香港,新界,广州,海珠区,114.091194,22.396943,113.262008,23.103131
67,Hong Kong,Gaungzhou,香港,新界,广州,越秀区,114.091194,22.396943,113.280714,23.125624
68,Hong Kong,Gaungzhou,香港,新界,广州,荔湾区,114.091194,22.396943,113.243038,23.124943
69,Hong Kong,Shenzhen,香港,新界,深圳,宝安区,114.091194,22.396943,113.828671,22.754741
70,Hong Kong,Shenzhen,香港,新界,深圳,南山区,114.091194,22.396943,113.92943,22.531221
71,Hong Kong,Shenzhen,香港,新界,深圳,福田区,114.091194,22.396943,114.05096,22.541009
